"id","target","target_sentiment","companies_sentiment","consumers_sentiment","__split"
"904968513504338048","España","positive","positive","positive","val"
"904724056355856384","Dinamarca","positive","positive","positive","train"
"903176576040239232","España","positive","positive","positive","test"
"912598430727405568","empresas","positive","positive","positive","train"
"911194635573350400","Gobierno","positive","positive","positive","train"
"923799336751976448","IAG","positive","neutral","neutral","train"
"922351296610529152","Abertis","positive","neutral","neutral","train"
"926542057749000192","Wall Street","positive","neutral","neutral","train"
"926348936113262592","Repsol","positive","neutral","neutral","val"
"930694546484350848","Japón","positive","positive","positive","train"
"936911897009405952","Chile","positive","positive","positive","val"
"936316480408387584","México","positive","positive","positive","train"
"935878416427028352","bitcoin","positive","positive","positive","train"
"904966261754429440","Repsol","positive","neutral","neutral","train"
"904601016980520832","Oro","positive","positive","positive","test"
"903647158326394752","Ibex","positive","positive","positive","test"
"903643978213592960","Ibex 35","positive","positive","positive","train"
"902919845037080448","Ibex 35","positive","positive","positive","train"
"902919120437608448","Ibex","positive","positive","positive","test"
"902871703281393664","EEUU","positive","positive","positive","train"
"902461761441366016","Alvalle","positive","neutral","positive","test"
"902445584841310208","fracking'","positive","positive","positive","train"
"902219274881814400","BCE","positive","positive","positive","train"
"902058144922083200","oro y plata","positive","positive","positive","val"
"912241543318208384","economía francesa","positive","positive","positive","val"
"911689026159173632","Noruega","positive","positive","positive","train"
"911523772322086784","Portugal","positive","positive","positive","train"
"911195322575138816","I+D+i","positive","positive","positive","val"
"910535933476434048","Nueva York","positive","positive","positive","train"
"924987035789725568","impuesto de matriculación","positive","positive","positive","test"
"924963800499085056","Bankia","positive","neutral","neutral","val"
"924961737484496768","Bolsa española","negative","negative","negative","test"
"924909111766142848","Ibex","positive","positive","positive","train"
"924587000593833984","JP Morgan","neutral","neutral","neutral","train"
"923911873967378432","WallStreet","neutral","positive","neutral","train"
"923797081789227008","BME","positive","neutral","neutral","train"
"923795088601485056","Banco Sabadell","positive","neutral","neutral","train"
"923794515764313984","Microsoft","positive","neutral","neutral","train"
"923794199916531584","Amazon","positive","neutral","neutral","val"
"923649873630646400","Amazon","positive","neutral","neutral","train"
"923523024267235200","Ibex","positive","positive","positive","train"
"923457364048711552","economía española","positive","positive","positive","train"
"923242059993174016","Heineken","positive","neutral","neutral","test"
"923088148334247936","Acciona","positive","neutral","neutral","test"
"922857595760791552","McDonald's","positive","neutral","neutral","train"
"922491617474498432","Netflix","positive","neutral","neutral","train"
"921664484015525760","Huawei","positive","neutral","neutral","test"
"925271976511451136","Plano","positive","positive","positive","train"
"925271530719805440","Ibex 35","positive","positive","positive","val"
"925261814534955008","FCC","positive","neutral","neutral","val"
"925042829633736832","bancos catalanes","positive","positive","neutral","train"
"925039366220730368","Ibex 35","positive","positive","positive","val"
"927808493347901440","Ibex","positive","positive","positive","test"
"927434088356577152","Grecia","positive","positive","positive","val"
"926797077354487808","Tejerina","positive","neutral","positive","train"
"925743694493470848","gran consumo","positive","positive","positive","train"
"925690555723665408","Lazard","positive","neutral","neutral","val"
"927810972873457664","Investors Intelligence Survey","positive","neutral","neutral","train"
"928341391658373248","Brasil","positive","positive","positive","train"
"930497660519411584","ethereum","positive","neutral","positive","val"
"930135094127415168","bitcoin","positive","neutral","positive","train"
"930008942050148352","Colonial","positive","neutral","neutral","test"
"929724968652349440","Vietnam","positive","positive","positive","train"
"929301809361014784","Alibaba","positive","positive","neutral","test"
"930859299932442624","NH Hotel Group","positive","neutral","neutral","train"
"931225197151182848","España","positive","positive","positive","train"
"931069564816953216","Ibex 35","positive","positive","positive","val"
"932183069536038784","bolsa vietnamita","positive","positive","positive","train"
"934731665645195264","España","positive","positive","positive","train"
"933238901589778432","Endesa","positive","neutral","neutral","test"
"932906343689842560","exportaciones","positive","positive","neutral","test"
"935418496074309632","Ibex 35","positive","positive","positive","test"
"937592878519521152","Ibex","positive","positive","positive","train"
"937592747241934848","Ibex 35","positive","positive","positive","val"
"937581658919882752","USD","positive","neutral","neutral","train"
"937455295047094400","CVS","positive","neutral","neutral","train"
"937402755173543936","PIB mundial","positive","positive","positive","val"
"936505470654828416","Ibex 35","positive","positive","positive","test"
"936494629452763136","WallStreet","positive","neutral","neutral","train"
"936189073479405568","Gas Natural, Enagás y Redexis","positive","neutral","neutral","train"
"935913173328244736","Ibex","positive","positive","positive","val"
"904976383289556992","Ibex","positive","positive","positive","train"
"904976333238935552","EEUU","positive","positive","positive","train"
"904957125411123200","Ibex 35","positive","positive","positive","train"
"904625954806312832","yuan","positive","positive","positive","test"
"904605254016266240","empleos","positive","positive","positive","test"
"904300617363066752","EEUU","positive","positive","positive","train"
"904253844993003648","Atresmedia","neutral","neutral","neutral","train"
"903996568528932864","turismos","positive","positive","positive","val"
"903933997172097024","ventas por internet","positive","positive","neutral","train"
"903920384071880832","EEUU","positive","positive","positive","train"
"903898226981564416","sistema de pensiones","positive","positive","positive","train"
